day,date,platforms,pillar,format,post_title,hook,caption,cta,hashtags,visual_brief,destination_url_instagram,destination_url_facebook,funnel_stage,status
11,2026-07-14,"Instagram, Facebook Page",Desk worker fat loss,carousel,Desk Worker Recomp Mistake,The biggest desk-worker recomp mistake is trying to copy someone with a totally different week.,"The biggest desk-worker recomp mistake is trying to copy someone with a totally different week.

Fitsek rule: make the plan small enough to repeat, then improve one lever each week. Focus on strength, steps, protein anchors, sleep, and honest tracking — not perfection. General fitness education only; results vary.",Get the 12-week system waitlist,#deskworkerfitness #bodyrecomposition #fatlossbasics #strengthtraining #walkingpad #highprotein #busyprofessionals #fitsek,"Dark-mode carousel with mint/blue accents, desk-worker context, simple tracker/checklist motif, no fake transformation, illustrative only.",https://fitsek.com/?utm_source=instagram&utm_medium=social&utm_campaign=day11_desk-worker-recomp-mistake,https://fitsek.com/?utm_source=facebook&utm_medium=social&utm_campaign=day11_desk-worker-recomp-mistake,awareness,draft/needs approval
12,2026-07-15,"Instagram, Facebook Page",Body recomposition basics,carousel,2-Meal Protein Fix,"If appetite is low, stop chasing six meals. Start with two protein anchors.","If appetite is low, stop chasing six meals. Start with two protein anchors.

Fitsek rule: make the plan small enough to repeat, then improve one lever each week. Focus on strength, steps, protein anchors, sleep, and honest tracking — not perfection. General fitness education only; results vary.",Share with someone who works at a desk,#deskworkerfitness #bodyrecomposition #fatlossbasics #strengthtraining #walkingpad #highprotein #busyprofessionals #fitsek,"Dark-mode carousel with mint/blue accents, desk-worker context, simple tracker/checklist motif, no fake transformation, illustrative only.",https://fitsek.com/?utm_source=instagram&utm_medium=social&utm_campaign=day12_2-meal-protein-fix,https://fitsek.com/?utm_source=facebook&utm_medium=social&utm_campaign=day12_2-meal-protein-fix,lead capture,draft/needs approval
13,2026-07-16,"Instagram, Facebook Page",Walking pad protocols,reel,Walking Pad Protocol,"A walking pad works best when it is boring, scheduled, and easy to repeat.","A walking pad works best when it is boring, scheduled, and easy to repeat.

Fitsek rule: make the plan small enough to repeat, then improve one lever each week. Focus on strength, steps, protein anchors, sleep, and honest tracking — not perfection. General fitness education only; results vary.",Download the free 7-Day Desk Worker Recomp Reset,#deskworkerfitness #bodyrecomposition #fatlossbasics #strengthtraining #walkingpad #highprotein #busyprofessionals #fitsek,"Dark-mode reel with mint/blue accents, desk-worker context, simple tracker/checklist motif, no fake transformation, illustrative only.",https://fitsek.com/?utm_source=instagram&utm_medium=social&utm_campaign=day13_walking-pad-protocol,https://fitsek.com/?utm_source=facebook&utm_medium=social&utm_campaign=day13_walking-pad-protocol,trust,draft/needs approval
14,2026-07-17,"Instagram, Facebook Page",Two-meal high-protein templates,carousel,Gym Progression Rule,"If every set is random, progress becomes invisible. Use one simple rule.","If every set is random, progress becomes invisible. Use one simple rule.

Fitsek rule: make the plan small enough to repeat, then improve one lever each week. Focus on strength, steps, protein anchors, sleep, and honest tracking — not perfection. General fitness education only; results vary.",Join the Fitsek list,#deskworkerfitness #bodyrecomposition #fatlossbasics #strengthtraining #walkingpad #highprotein #busyprofessionals #fitsek,"Dark-mode carousel with mint/blue accents, desk-worker context, simple tracker/checklist motif, no fake transformation, illustrative only.",https://fitsek.com/?utm_source=instagram&utm_medium=social&utm_campaign=day14_gym-progression-rule,https://fitsek.com/?utm_source=facebook&utm_medium=social&utm_campaign=day14_gym-progression-rule,trust,draft/needs approval
15,2026-07-18,"Instagram, Facebook Page",Low appetite muscle gain,quote/checklist,Why the Scale Lied This Week,The scale can be up while the plan is working. Here is the check-in that keeps you sane.,"The scale can be up while the plan is working. Here is the check-in that keeps you sane.

Fitsek rule: make the plan small enough to repeat, then improve one lever each week. Focus on strength, steps, protein anchors, sleep, and honest tracking — not perfection. General fitness education only; results vary.",Save this for your next check-in,#deskworkerfitness #bodyrecomposition #fatlossbasics #strengthtraining #walkingpad #highprotein #busyprofessionals #fitsek,"Dark-mode quote/checklist with mint/blue accents, desk-worker context, simple tracker/checklist motif, no fake transformation, illustrative only.",https://fitsek.com/?utm_source=instagram&utm_medium=social&utm_campaign=day15_why-the-scale-lied-this-week,https://fitsek.com/?utm_source=facebook&utm_medium=social&utm_campaign=day15_why-the-scale-lied-this-week,trust,draft/needs approval
16,2026-07-19,"Instagram, Facebook Page",Strength vs hypertrophy progression,carousel,Low Appetite Muscle Gain,"Low appetite muscle gain starts with meal friction, not motivation.","Low appetite muscle gain starts with meal friction, not motivation.

Fitsek rule: make the plan small enough to repeat, then improve one lever each week. Focus on strength, steps, protein anchors, sleep, and honest tracking — not perfection. General fitness education only; results vary.",Comment “RESET”,#deskworkerfitness #bodyrecomposition #fatlossbasics #strengthtraining #walkingpad #highprotein #busyprofessionals #fitsek,"Dark-mode carousel with mint/blue accents, desk-worker context, simple tracker/checklist motif, no fake transformation, illustrative only.",https://fitsek.com/?utm_source=instagram&utm_medium=social&utm_campaign=day16_low-appetite-muscle-gain,https://fitsek.com/?utm_source=facebook&utm_medium=social&utm_campaign=day16_low-appetite-muscle-gain,lead capture,draft/needs approval
17,2026-07-20,"Instagram, Facebook Page",Body fat scale reality checks,carousel,What I’d Do Starting at 25–30% Body Fat,Starting at 25–30% body fat? I would not crash diet first.,"Starting at 25–30% body fat? I would not crash diet first.

Fitsek rule: make the plan small enough to repeat, then improve one lever each week. Focus on strength, steps, protein anchors, sleep, and honest tracking — not perfection. General fitness education only; results vary.",Get the 12-week system waitlist,#deskworkerfitness #bodyrecomposition #fatlossbasics #strengthtraining #walkingpad #highprotein #busyprofessionals #fitsek,"Dark-mode carousel with mint/blue accents, desk-worker context, simple tracker/checklist motif, no fake transformation, illustrative only.",https://fitsek.com/?utm_source=instagram&utm_medium=social&utm_campaign=day17_what-id-do-starting-at-25–30%-body-fat,https://fitsek.com/?utm_source=facebook&utm_medium=social&utm_campaign=day17_what-id-do-starting-at-25–30%-body-fat,awareness,draft/needs approval
18,2026-07-21,"Instagram, Facebook Page",Weekly check-in systems,checklist,Save This Recomp Checklist,Save this before your next Sunday check-in.,"Save this before your next Sunday check-in.

Fitsek rule: make the plan small enough to repeat, then improve one lever each week. Focus on strength, steps, protein anchors, sleep, and honest tracking — not perfection. General fitness education only; results vary.",Share with someone who works at a desk,#deskworkerfitness #bodyrecomposition #fatlossbasics #strengthtraining #walkingpad #highprotein #busyprofessionals #fitsek,"Dark-mode checklist with mint/blue accents, desk-worker context, simple tracker/checklist motif, no fake transformation, illustrative only.",https://fitsek.com/?utm_source=instagram&utm_medium=social&utm_campaign=day18_save-this-recomp-checklist,https://fitsek.com/?utm_source=facebook&utm_medium=social&utm_campaign=day18_save-this-recomp-checklist,lead capture,draft/needs approval
19,2026-07-22,"Instagram, Facebook Page",Simple meal planning,reel,1-Minute Meal Template,One minute meal template for busy desk days.,"One minute meal template for busy desk days.

Fitsek rule: make the plan small enough to repeat, then improve one lever each week. Focus on strength, steps, protein anchors, sleep, and honest tracking — not perfection. General fitness education only; results vary.",Download the free 7-Day Desk Worker Recomp Reset,#deskworkerfitness #bodyrecomposition #fatlossbasics #strengthtraining #walkingpad #highprotein #busyprofessionals #fitsek,"Dark-mode reel with mint/blue accents, desk-worker context, simple tracker/checklist motif, no fake transformation, illustrative only.",https://fitsek.com/?utm_source=instagram&utm_medium=social&utm_campaign=day19_1-minute-meal-template,https://fitsek.com/?utm_source=facebook&utm_medium=social&utm_campaign=day19_1-minute-meal-template,lead capture,draft/needs approval
20,2026-07-23,"Instagram, Facebook Page",Habit systems for busy professionals,carousel,Sunday Recomp Check-In,"Your Sunday check-in should change one lever, not your whole life.","Your Sunday check-in should change one lever, not your whole life.

Fitsek rule: make the plan small enough to repeat, then improve one lever each week. Focus on strength, steps, protein anchors, sleep, and honest tracking — not perfection. General fitness education only; results vary.",Join the Fitsek list,#deskworkerfitness #bodyrecomposition #fatlossbasics #strengthtraining #walkingpad #highprotein #busyprofessionals #fitsek,"Dark-mode carousel with mint/blue accents, desk-worker context, simple tracker/checklist motif, no fake transformation, illustrative only.",https://fitsek.com/?utm_source=instagram&utm_medium=social&utm_campaign=day20_sunday-recomp-check-in,https://fitsek.com/?utm_source=facebook&utm_medium=social&utm_campaign=day20_sunday-recomp-check-in,trust,draft/needs approval
21,2026-07-24,"Instagram, Facebook Page",Desk worker fat loss,carousel,Desk Worker Recomp Mistake,The biggest desk-worker recomp mistake is trying to copy someone with a totally different week.,"The biggest desk-worker recomp mistake is trying to copy someone with a totally different week.

Fitsek rule: make the plan small enough to repeat, then improve one lever each week. Focus on strength, steps, protein anchors, sleep, and honest tracking — not perfection. General fitness education only; results vary.",Save this for your next check-in,#deskworkerfitness #bodyrecomposition #fatlossbasics #strengthtraining #walkingpad #highprotein #busyprofessionals #fitsek,"Dark-mode carousel with mint/blue accents, desk-worker context, simple tracker/checklist motif, no fake transformation, illustrative only.",https://fitsek.com/?utm_source=instagram&utm_medium=social&utm_campaign=day21_desk-worker-recomp-mistake,https://fitsek.com/?utm_source=facebook&utm_medium=social&utm_campaign=day21_desk-worker-recomp-mistake,awareness,draft/needs approval
22,2026-07-25,"Instagram, Facebook Page",Body recomposition basics,carousel,2-Meal Protein Fix,"If appetite is low, stop chasing six meals. Start with two protein anchors.","If appetite is low, stop chasing six meals. Start with two protein anchors.

Fitsek rule: make the plan small enough to repeat, then improve one lever each week. Focus on strength, steps, protein anchors, sleep, and honest tracking — not perfection. General fitness education only; results vary.",Comment “RESET”,#deskworkerfitness #bodyrecomposition #fatlossbasics #strengthtraining #walkingpad #highprotein #busyprofessionals #fitsek,"Dark-mode carousel with mint/blue accents, desk-worker context, simple tracker/checklist motif, no fake transformation, illustrative only.",https://fitsek.com/?utm_source=instagram&utm_medium=social&utm_campaign=day22_2-meal-protein-fix,https://fitsek.com/?utm_source=facebook&utm_medium=social&utm_campaign=day22_2-meal-protein-fix,lead capture,draft/needs approval
23,2026-07-26,"Instagram, Facebook Page",Walking pad protocols,reel,Walking Pad Protocol,"A walking pad works best when it is boring, scheduled, and easy to repeat.","A walking pad works best when it is boring, scheduled, and easy to repeat.

Fitsek rule: make the plan small enough to repeat, then improve one lever each week. Focus on strength, steps, protein anchors, sleep, and honest tracking — not perfection. General fitness education only; results vary.",Get the 12-week system waitlist,#deskworkerfitness #bodyrecomposition #fatlossbasics #strengthtraining #walkingpad #highprotein #busyprofessionals #fitsek,"Dark-mode reel with mint/blue accents, desk-worker context, simple tracker/checklist motif, no fake transformation, illustrative only.",https://fitsek.com/?utm_source=instagram&utm_medium=social&utm_campaign=day23_walking-pad-protocol,https://fitsek.com/?utm_source=facebook&utm_medium=social&utm_campaign=day23_walking-pad-protocol,trust,draft/needs approval
24,2026-07-27,"Instagram, Facebook Page",Two-meal high-protein templates,carousel,Gym Progression Rule,"If every set is random, progress becomes invisible. Use one simple rule.","If every set is random, progress becomes invisible. Use one simple rule.

Fitsek rule: make the plan small enough to repeat, then improve one lever each week. Focus on strength, steps, protein anchors, sleep, and honest tracking — not perfection. General fitness education only; results vary.",Share with someone who works at a desk,#deskworkerfitness #bodyrecomposition #fatlossbasics #strengthtraining #walkingpad #highprotein #busyprofessionals #fitsek,"Dark-mode carousel with mint/blue accents, desk-worker context, simple tracker/checklist motif, no fake transformation, illustrative only.",https://fitsek.com/?utm_source=instagram&utm_medium=social&utm_campaign=day24_gym-progression-rule,https://fitsek.com/?utm_source=facebook&utm_medium=social&utm_campaign=day24_gym-progression-rule,trust,draft/needs approval
25,2026-07-28,"Instagram, Facebook Page",Low appetite muscle gain,quote/checklist,Why the Scale Lied This Week,The scale can be up while the plan is working. Here is the check-in that keeps you sane.,"The scale can be up while the plan is working. Here is the check-in that keeps you sane.

Fitsek rule: make the plan small enough to repeat, then improve one lever each week. Focus on strength, steps, protein anchors, sleep, and honest tracking — not perfection. General fitness education only; results vary.",Download the free 7-Day Desk Worker Recomp Reset,#deskworkerfitness #bodyrecomposition #fatlossbasics #strengthtraining #walkingpad #highprotein #busyprofessionals #fitsek,"Dark-mode quote/checklist with mint/blue accents, desk-worker context, simple tracker/checklist motif, no fake transformation, illustrative only.",https://fitsek.com/?utm_source=instagram&utm_medium=social&utm_campaign=day25_why-the-scale-lied-this-week,https://fitsek.com/?utm_source=facebook&utm_medium=social&utm_campaign=day25_why-the-scale-lied-this-week,trust,draft/needs approval
26,2026-07-29,"Instagram, Facebook Page",Strength vs hypertrophy progression,carousel,Low Appetite Muscle Gain,"Low appetite muscle gain starts with meal friction, not motivation.","Low appetite muscle gain starts with meal friction, not motivation.

Fitsek rule: make the plan small enough to repeat, then improve one lever each week. Focus on strength, steps, protein anchors, sleep, and honest tracking — not perfection. General fitness education only; results vary.",Join the Fitsek list,#deskworkerfitness #bodyrecomposition #fatlossbasics #strengthtraining #walkingpad #highprotein #busyprofessionals #fitsek,"Dark-mode carousel with mint/blue accents, desk-worker context, simple tracker/checklist motif, no fake transformation, illustrative only.",https://fitsek.com/?utm_source=instagram&utm_medium=social&utm_campaign=day26_low-appetite-muscle-gain,https://fitsek.com/?utm_source=facebook&utm_medium=social&utm_campaign=day26_low-appetite-muscle-gain,lead capture,draft/needs approval
27,2026-07-30,"Instagram, Facebook Page",Body fat scale reality checks,carousel,What I’d Do Starting at 25–30% Body Fat,Starting at 25–30% body fat? I would not crash diet first.,"Starting at 25–30% body fat? I would not crash diet first.

Fitsek rule: make the plan small enough to repeat, then improve one lever each week. Focus on strength, steps, protein anchors, sleep, and honest tracking — not perfection. General fitness education only; results vary.",Save this for your next check-in,#deskworkerfitness #bodyrecomposition #fatlossbasics #strengthtraining #walkingpad #highprotein #busyprofessionals #fitsek,"Dark-mode carousel with mint/blue accents, desk-worker context, simple tracker/checklist motif, no fake transformation, illustrative only.",https://fitsek.com/?utm_source=instagram&utm_medium=social&utm_campaign=day27_what-id-do-starting-at-25–30%-body-fat,https://fitsek.com/?utm_source=facebook&utm_medium=social&utm_campaign=day27_what-id-do-starting-at-25–30%-body-fat,awareness,draft/needs approval
28,2026-07-31,"Instagram, Facebook Page",Weekly check-in systems,checklist,Save This Recomp Checklist,Save this before your next Sunday check-in.,"Save this before your next Sunday check-in.

Fitsek rule: make the plan small enough to repeat, then improve one lever each week. Focus on strength, steps, protein anchors, sleep, and honest tracking — not perfection. General fitness education only; results vary.",Comment “RESET”,#deskworkerfitness #bodyrecomposition #fatlossbasics #strengthtraining #walkingpad #highprotein #busyprofessionals #fitsek,"Dark-mode checklist with mint/blue accents, desk-worker context, simple tracker/checklist motif, no fake transformation, illustrative only.",https://fitsek.com/?utm_source=instagram&utm_medium=social&utm_campaign=day28_save-this-recomp-checklist,https://fitsek.com/?utm_source=facebook&utm_medium=social&utm_campaign=day28_save-this-recomp-checklist,lead capture,draft/needs approval
29,2026-08-01,"Instagram, Facebook Page",Simple meal planning,reel,1-Minute Meal Template,One minute meal template for busy desk days.,"One minute meal template for busy desk days.

Fitsek rule: make the plan small enough to repeat, then improve one lever each week. Focus on strength, steps, protein anchors, sleep, and honest tracking — not perfection. General fitness education only; results vary.",Get the 12-week system waitlist,#deskworkerfitness #bodyrecomposition #fatlossbasics #strengthtraining #walkingpad #highprotein #busyprofessionals #fitsek,"Dark-mode reel with mint/blue accents, desk-worker context, simple tracker/checklist motif, no fake transformation, illustrative only.",https://fitsek.com/?utm_source=instagram&utm_medium=social&utm_campaign=day29_1-minute-meal-template,https://fitsek.com/?utm_source=facebook&utm_medium=social&utm_campaign=day29_1-minute-meal-template,lead capture,draft/needs approval
30,2026-08-02,"Instagram, Facebook Page",Habit systems for busy professionals,carousel,Sunday Recomp Check-In,"Your Sunday check-in should change one lever, not your whole life.","Your Sunday check-in should change one lever, not your whole life.

Fitsek rule: make the plan small enough to repeat, then improve one lever each week. Focus on strength, steps, protein anchors, sleep, and honest tracking — not perfection. General fitness education only; results vary.",Share with someone who works at a desk,#deskworkerfitness #bodyrecomposition #fatlossbasics #strengthtraining #walkingpad #highprotein #busyprofessionals #fitsek,"Dark-mode carousel with mint/blue accents, desk-worker context, simple tracker/checklist motif, no fake transformation, illustrative only.",https://fitsek.com/?utm_source=instagram&utm_medium=social&utm_campaign=day30_sunday-recomp-check-in,https://fitsek.com/?utm_source=facebook&utm_medium=social&utm_campaign=day30_sunday-recomp-check-in,trust,draft/needs approval
